S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2022-01-26,295.00,295.00,287.60,288.20,-2.64,"32,678.00","9,463,196.30"
2,2022-01-25,305.80,305.80,288.30,296.00,-1.30,"44,713.00","13,255,283.70"
3,2022-01-24,314.20,314.20,295.00,299.90,-2.66,"61,509.00","18,392,749.30"
4,2022-01-23,323.30,323.30,307.90,308.10,-2.81,"39,106.00","12,122,809.00"
5,2022-01-20,312.50,317.00,310.00,317.00,-0.31,"41,551.00","13,035,064.70"
6,2022-01-19,326.00,326.00,315.00,318.00,-0.59,"47,069.00","14,926,957.70"
7,2022-01-18,318.00,330.00,312.00,319.90,0.63,"90,351.00","29,002,983.10"
8,2022-01-17,321.00,321.00,315.00,317.90,0.16,"39,437.00","12,485,118.10"
9,2022-01-16,306.00,318.00,305.10,317.40,5.80,"137,560.00","43,196,830.70"
10,2022-01-13,300.00,300.00,290.00,300.00,0.67,"48,560.00","14,433,500.50"
11,2022-01-12,297.00,303.00,292.00,298.00,0.34,"64,071.00","19,100,848.00"
12,2022-01-11,295.00,298.00,292.00,297.00,0.34,"32,036.00","9,475,883.60"
13,2022-01-10,301.00,304.50,293.10,296.00,-1.63,"57,373.00","17,011,818.50"
14,2022-01-09,295.00,300.90,293.10,300.90,3.08,"58,429.00","17,396,820.30"
15,2022-01-06,281.00,292.00,281.00,291.90,3.51,"43,100.00","12,355,274.60"
16,2022-01-05,296.80,296.80,282.00,282.00,-3.09,"47,134.00","13,550,877.30"
17,2022-01-04,275.00,291.00,273.10,291.00,6.20,"59,764.00","16,960,527.90"
18,2022-01-03,269.00,274.30,266.00,274.00,1.86,"32,290.00","8,783,842.50"
19,2022-01-02,265.00,269.80,261.10,269.00,1.51,"21,592.00","5,776,094.80"
20,2021-12-29,267.00,267.10,262.00,265.00,1.15,"25,584.00","6,760,368.60"
21,2021-12-28,266.00,268.00,259.70,262.00,-2.24,"21,945.00","5,794,970.50"
22,2021-12-27,270.00,275.00,267.00,268.00,-1.11,"36,037.00","9,747,671.10"
23,2021-12-26,266.00,271.30,265.20,271.00,2.65,"47,457.00","12,774,735.30"
24,2021-12-23,266.20,268.00,260.00,264.00,1.15,"32,047.00","8,458,238.60"
25,2021-12-22,259.00,264.00,255.00,261.00,2.76,"32,410.00","8,442,381.30"
26,2021-12-21,252.00,255.00,250.00,254.00,2.42,"23,675.00","5,990,694.10"
27,2021-12-20,259.00,259.00,246.30,248.00,-2.36,"29,390.00","7,343,193.20"
28,2021-12-16,258.90,258.90,253.00,254.00,-1.89,"21,503.00","5,483,762.50"
29,2021-12-15,263.00,270.00,256.30,258.90,0.35,"39,072.00","10,210,430.30"
30,2021-12-14,250.00,258.00,246.00,258.00,4.88,"20,108.00","5,041,485.90"
31,2021-12-13,250.00,250.00,240.20,246.00,-2.03,"31,386.00","7,651,650.30"
32,2021-12-12,264.00,264.00,251.10,251.10,-4.34,"36,608.00","9,329,198.50"
33,2021-12-09,265.00,266.00,259.70,262.50,-0.94,"23,833.00","6,258,455.30"
34,2021-12-08,265.00,268.00,262.90,265.00,-1.16,"19,994.00","5,296,555.50"
35,2021-12-07,272.30,274.00,268.00,268.10,0.41,"30,787.00","8,332,729.70"
36,2021-12-06,260.00,267.00,252.00,267.00,1.91,"36,248.00","9,378,542.60"
37,2021-12-05,272.00,275.00,261.80,262.00,-3.68,"33,716.00","8,910,224.10"
38,2021-12-02,279.00,280.00,270.00,272.00,-2.51,"38,523.00","10,561,857.80"
39,2021-12-01,285.00,285.00,278.60,279.00,-1.06,"32,857.00","9,196,447.10"
40,2021-11-30,291.00,291.00,279.30,282.00,-2.76,"28,457.00","8,061,880.70"
41,2021-11-29,294.00,295.80,287.10,290.00,-1.69,"28,744.00","8,322,535.10"
42,2021-11-28,305.00,305.00,294.00,295.00,-4.84,"74,634.00","22,144,743.20"
43,2021-11-25,338.00,345.00,336.00,341.00,1.34,"157,242.00","53,381,636.90"
44,2021-11-24,340.00,340.00,330.00,336.50,-0.15,"36,015.00","12,073,815.30"
45,2021-11-23,342.50,342.50,335.00,337.00,-0.79,"37,507.00","12,628,394.80"
46,2021-11-22,338.00,341.70,338.00,339.70,0.50,"51,675.00","17,545,093.50"
47,2021-11-21,334.10,339.00,333.00,338.00,1.17,"34,696.00","11,693,162.90"
48,2021-11-18,341.00,342.00,334.00,334.10,-1.74,"34,388.00","11,586,264.50"
49,2021-11-17,342.00,342.00,338.00,340.00,0.59,"40,000.00","13,618,811.70"
50,2021-11-16,332.00,338.00,325.00,338.00,2.11,"46,798.00","15,660,853.20"
51,2021-11-15,337.50,343.00,327.00,331.00,0.00,"50,699.00","16,692,679.70"
52,2021-11-14,326.00,331.00,320.00,331.00,1.13,"38,623.00","12,584,546.60"
53,2021-11-11,334.00,335.00,327.30,327.30,-2.01,"56,707.00","18,719,408.50"
54,2021-11-09,338.00,338.00,332.00,334.00,-1.18,"46,748.00","15,626,533.20"
55,2021-11-08,349.00,349.80,338.00,338.00,-1.46,"42,337.00","14,436,409.90"
56,2021-11-03,339.00,344.70,339.00,343.00,-0.23,"47,939.00","16,415,080.90"
57,2021-11-02,347.00,352.00,340.00,343.80,-0.92,"59,874.00","20,466,059.40"
58,2021-11-01,352.00,352.00,346.00,347.00,-1.42,"53,464.00","18,593,710.10"
59,2021-10-31,355.00,357.00,348.00,352.00,-0.85,"48,640.00","17,104,389.40"
60,2021-10-28,357.00,358.00,350.00,355.00,-0.28,"31,364.00","11,157,664.10"
61,2021-10-27,365.10,367.00,350.00,356.00,-0.56,"70,922.00","25,334,449.70"
62,2021-10-26,340.10,360.00,340.10,358.00,7.35,"157,153.00","55,777,529.90"
63,2021-10-25,324.00,334.00,320.00,333.50,4.55,"33,141.00","10,917,858.50"
64,2021-10-24,317.00,320.00,312.10,319.00,0.85,"25,194.00","8,005,315.10"
65,2021-10-21,329.00,329.40,316.00,316.30,-2.07,"51,762.00","16,566,803.70"
66,2021-10-20,318.00,331.00,318.00,323.00,1.89,"43,272.00","13,916,687.10"
67,2021-10-19,330.00,330.00,314.10,317.00,-3.94,"63,948.00","20,344,404.70"
68,2021-10-18,335.50,340.00,330.00,330.00,-2.65,"44,294.00","14,760,430.30"
69,2021-10-17,345.00,349.00,337.00,339.00,-0.76,"18,283.00","6,215,687.80"
70,2021-10-11,341.00,342.00,335.00,341.60,-0.70,"27,522.00","9,365,782.70"
71,2021-10-10,345.00,346.00,342.00,344.00,1.18,"34,371.00","11,811,731.70"
72,2021-10-06,345.00,346.00,337.00,340.00,0.29,"53,099.00","18,126,617.70"
73,2021-10-05,331.10,342.00,331.10,339.00,0.92,"26,769.00","9,062,327.00"
74,2021-10-04,331.00,340.00,330.00,335.90,0.12,"42,962.00","14,333,970.00"
75,2021-10-03,346.00,346.00,334.40,335.50,-3.03,"63,022.00","21,239,948.40"
76,2021-09-30,352.50,356.00,344.50,346.00,-1.70,"55,196.00","19,281,504.40"
77,2021-09-29,351.00,354.00,331.00,352.00,2.03,"47,450.00","16,362,302.80"
78,2021-09-28,360.00,360.00,343.00,345.00,-3.50,"66,481.00","23,263,291.50"
79,2021-09-27,369.00,371.00,356.00,357.50,-3.90,"68,286.00","24,555,124.20"
80,2021-09-26,375.00,388.60,367.00,372.00,1.09,"127,018.00","47,241,283.60"
81,2021-09-23,361.60,376.00,355.00,368.00,3.66,"160,069.00","59,044,873.40"
82,2021-09-22,345.00,359.00,343.00,355.00,3.83,"53,066.00","18,647,798.10"
83,2021-09-21,336.00,346.80,322.30,341.90,0.56,"81,958.00","27,510,510.50"
